Epoch,Loss,IoU,F1
1,1.8190,0.1208,0.2138
2,1.7642,0.5697,0.7086
3,1.7454,0.6917,0.8021
4,1.7350,0.7000,0.8067
5,1.7315,0.7156,0.8201
6,1.7255,0.7075,0.8107
7,1.7193,0.7745,0.8632
8,1.7189,0.8099,0.8927
9,1.7127,0.7804,0.8740
10,1.7076,0.7725,0.8646
11,1.7039,0.7905,0.8796
12,1.7044,0.7913,0.8788
13,1.7045,0.8026,0.8877
14,1.7017,0.7923,0.8793
15,1.7031,0.8054,0.8898
16,1.7021,0.8032,0.8876
17,1.7008,0.8070,0.8903
18,1.7006,0.8011,0.8859
19,1.6999,0.8092,0.8917
20,1.7011,0.8063,0.8900
21,1.7010,0.8049,0.8892
22,1.6991,0.8068,0.8903
23,1.7006,0.8050,0.8890
24,1.7006,0.8049,0.8891
25,1.6995,0.8093,0.8919
26,1.7006,0.8086,0.8914
27,1.6987,0.8093,0.8918
28,1.7010,0.8058,0.8894
29,1.6979,0.8111,0.8929
30,1.6982,0.8052,0.8892
31,1.6986,0.8096,0.8922
32,1.6983,0.8118,0.8935
33,1.6984,0.8104,0.8927
34,1.6983,0.8108,0.8929
35,1.6977,0.8089,0.8917
36,1.6987,0.8125,0.8940
37,1.6993,0.8114,0.8933
38,1.6986,0.8103,0.8926
39,1.6988,0.8108,0.8929
40,1.6985,0.8108,0.8928
41,1.6990,0.8096,0.8921
42,1.6981,0.8107,0.8929
43,1.6980,0.8130,0.8942
44,1.6992,0.8129,0.8943
45,1.6982,0.8098,0.8923
46,1.6982,0.8107,0.8929
47,1.6977,0.8109,0.8929
48,1.6981,0.8095,0.8921
49,1.7006,0.8102,0.8926
50,1.6973,0.8097,0.8922
